,"
TRAFFIC LOG",,,,,,,,
,"Week of:
",3/24/2025,,KEY: Pink = 1/2 hour show    Purple = Syndicated    Blue = Hightower  ,,,,,
,,3/24,3/25,3/26,3/27,3/28,3/29,3/30,
,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,
,8:00 AM ,,,,,,,,
,,,,,,,,,
,8:30 AM ,,,,,,,,
,,,,,,,,,
,,,,,SOBD FM ,,,,
,9:00 AM ,SIGN ON,SIGN ON,SIGN ON,SIGN ON,SIGN ON,SIGN ON,SIGN ON,
,,PRM Drinks Lounge Res. 24 (SPA),PSA CSA TDV 25,UA Logical Things 25,PRM Community Garden Res. 24 (SPA),PSA CSA TDV 25,PRM Carpenter Vinyl Night 25 (generic),PSA AARP Found. Tax Prep 25,
,9:30 AM ,PSA Myanmar,PSA Co-Lab,PRM Community Garden Res. 24,PRM KOOP CC 2025 (Keepers #8),PRM KOOP CC 2025 (Keepers #1),PRM KOOP CC 2025 (Keepers #7),PRM KOOP CC 2025 (20s Keep the Beat),
,,SHWPRM,UA Eldorado Cafe 25 ,PSA ATX Chamber Jazz,TRD OSMF 25,UA CoA Budget 2025,SHWPRM,SHWPRM,
,10:00 AM ,PRM KOOP CC 2025 (Keepers #6),,,,,,,
,,UA Austin Blues Fest 25,SHWPRM,TRD STAPLE EXPO 25,SHWPRM,PRM Drinks Lounge Res. 24,PSA CSA TDV 25,PSA Herizon,
,10:30 AM ,,,,,,,,
,,SHWPRM,,SHWPRM,,SHWPRM,UA CoA Budget 2025,UA CTBA EVG 24,
,,,Hightower 00421 A,,Hightower 00422 B,,,,
,11:00 AM ,PSA Real Queens 25,PRM KOOP CC 2025 (20s Keep the Beat),PRM KOOP CC 2025 (30s KOOP Studios SOS),PSA WG Morning Glories 25,PSA Waterloo Greenway Yoga 25,,,
,,PRM Carpenter Vinyl Night 25 (generic),TRD Bumperactive 25 ,UA Eldorado Cafe 25 ,PRM Community Garden Res. 24,PRM Community Garden Res. 24,UA Serpent Tattoo 25,TRD OSMF 25, 
,11:30 AM ,,,,,,,,
,,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,
,12:00 PM ,,PSA Austin Tan Cerca F23,PSA Home Street 24 (EVRG),PRM KOOP CC 2025 (30s KOOP Studios SOS),PSA TX Fair Defense,PRM KOOP CC 2025 (30s KOOP Studios SOS),,
,,PSA CSA IWD 2025,PRM Community Garden Res. 24 (SPA),PSA CSA TDV 25,PRM Drinks Lounge Res. 24 (SPA),UA Serpent Tattoo 25,TRD Bumperactive 25 ,PRM Drinks Lounge Res. 24,
,12:30 PM ,,,,,,,,
,,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,TRD STAPLE EXPO 25,
,1:00 PM ,PRM Community Garden Res. 24 (SPA),PSA Knowbility 24,PRM KOOP CC 2025 (Keepers #2),PSA Waterloo Greenway Yoga 25,PRM KOOP CC 2025 (15s Save the Sound),,,
,,SHWPRM,PRM Drinks Lounge Res. 24 (SPA),TRD Motorblade 25,PSA CSA TDV 25,PSA CSA TDV 25,PSA CSA IWD 2025,PSA CSA TDV 25,
,1:30 PM ,PSA Keep Austin Beautiful ,,,,,,,
,,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,
,2:00 PM ,PSA Farmshare Austin,PSA CSA TDV 25,,TRD Motorblade 25,PRM Car Donation - Roustam,PRM KOOP Underwriting 1 2024,PSA WG Morning Glories 25,
,,PSA CSA TDV 25,PSA Asmbly Mkerspc,PSA CSA IWD 2025,PRM Drinks Lounge Res. 24,PSA Tree Folks 24,UA Logical Things 25,PRM Community Garden Res. 24,
,2:30 PM ,,,,,,,,
,,PRM ThisWayOut03262025,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,
,3:00 PM ,,,,,PRM Community Garden Res. 24 (SPA),PSA Torch,PRM KOOP CC 2025 (30s Keep KOOP Strong),
,,TRD Bumperactive 25 ,UA Waterloo Greenway Tix Giveaway 25,SHWPRM,PRM KOOP CC 2025 (15s Save the Sound),SHWPRM,PRM Community Garden Res. 24 (SPA),UA Waterloo Greenway Tix Giveaway 25,
,3:30 PM ,PRM Car Donation - Brian,PRM KOOP CC 2025 (30s Keep KOOP Strong),PRM KOOP CC 2025 (30s Let's Build Future),TRD STAPLE EXPO 25,PRM KOOP CC 2025 (Keepers #9),,,
,,TRD STAPLE EXPO 25,PRM Community Garden Res. 24,PRM Drinks Lounge Res. 24 (SPA),PSA CSA TDV 25,PRM Carpenter Vinyl Night 25 (generic),SHWPRM,SHWPRM,
,4:00 PM ,,,,,,PRM KOOP CC 2025 (30s Let's Build Future),PSA Joy RX ,
,,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,PRM Drinks Lounge Res. 24 (SPA),TRD Motorblade 25,
,4:30 PM ,,,,,,,,
,,PSA CSA TDV 25,PRM Carpenter Vinyl Night 25 (generic),PSA CSA TDV 25,PRM Carpenter Vinyl Night 25 (generic),UA Waterloo Greenway Tix Giveaway 25,SHWPRM,SHWPRM,
,5:00 PM ,PRM KOOP CC 2025 (Keepers #7),PSA HAAM 23,PRM Carpenter Vinyl Night 25 (generic),PSA Simple Promise F23,RUN EAS,PSA Waterloo Greenway Yoga 25,PRM KOOP CC 2025 (Keepers #6),
,,UA Serpent Tattoo 25,PSA CSA TDV 25,PRM KOOP CC 2025 (15s Now's The Time),PRM KOOP CC 2025 (Keepers #3),TRD STAPLE EXPO 25,PRM Community Garden Res. 24,PRM Drinks Lounge Res. 24 (SPA) ,
,5:30 PM ,,,,,,,,
,,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,SHWPRM,
